Year	Site	Hg_dep	Prec	Temp
1990	Femunden	6.34		
1991	Femunden	6.48		
1992	Femunden	7.01		
1993	Femunden	6.65		
1994	Femunden	5.97		
1995	Femunden	6.37		
1996	Femunden	6.21		
1997	Femunden	6.31		
1998	Femunden	6.15		
1999	Femunden	6.2		
2000	Femunden	6.07	798.2	2.1
2001	Femunden	6.82	663	0.4
2002	Femunden	5.71	302.8	-2.6
2003	Femunden	6.36	172.4	0.8
2004	Femunden	5.2	376.3	1.5
2005	Femunden	6.33	471.7	1.9
2006	Femunden	7.26	608.1	2.3
2007	Femunden	4.85	520.6	1.5
2008	Femunden	6.31	679.8	1.6
2009	Femunden	5.89		0.8
2010	Femunden	5.5		-0.9
2011	Femunden	5.48		2.2
2012	Femunden	5.18		0.5
2013	Femunden	4.97		0.9
2014	Femunden	6.44	649.8	2.4
2015	Femunden	5.43	662.8	2.1
2016	Femunden	4.88	515.8	1.5
2017	Femunden	5.12	599.2	1.1
2018	Femunden	4.94	506.5	1.5
2019	Femunden	5.64	711.9	1.7
2020	Femunden		494.1	3.2
1990	Mj?sa	8.58		
1991	Mj?sa	7.76		
1992	Mj?sa	8.33		
1993	Mj?sa	8.11		
1994	Mj?sa	7.75		
1995	Mj?sa	7.94		
1996	Mj?sa	7.87		
1997	Mj?sa	8.11		
1998	Mj?sa	8.31		
1999	Mj?sa	7.63		
2000	Mj?sa	8.26	756.7	6.1
2001	Mj?sa	8.2	551.8	4.6
2002	Mj?sa	7.37	567.3	6.3
2003	Mj?sa	8.14	557.8	4.5
2004	Mj?sa	7.51	612.9	5.1
2005	Mj?sa	7.48	469.8	5.9
2006	Mj?sa	9.36	627.5	5.9
2007	Mj?sa	6.91	600.2	5.5
2008	Mj?sa	7.77	644.3	5.9
2009	Mj?sa	7.38	721	4.6
2010	Mj?sa	6.6	654.7	2.4
2011	Mj?sa	8.5	735.1	5.1
2012	Mj?sa	6.86	710.9	4.9
2013	Mj?sa	6.31	510.8	4.6
2014	Mj?sa	7.48	732.4	7
2015	Mj?sa	6.54	645.6	6.1
2016	Mj?sa	6.48	582.1	5.7
2017	Mj?sa	6.56	573.7	5
2018	Mj?sa	6.25	509.3	5.6
2019	Mj?sa	6.73	778.2	5.5
2020	Mj?sa		602.5	7.4
1990	Ellasj?en	12.21		
1991	Ellasj?en	13.72		
1992	Ellasj?en	12.88		
1993	Ellasj?en	17.87		
1994	Ellasj?en	13.99		
1995	Ellasj?en	14.7		
1996	Ellasj?en	14.19		
1997	Ellasj?en	17.46		
1998	Ellasj?en	15.63	414.1	-1.8
1999	Ellasj?en	16.72	446.7	0.1
2000	Ellasj?en	18.2	491.5	-0.5
2001	Ellasj?en	13.88	431.1	-1.2
2002	Ellasj?en	10.24	386.4	-0.6
2003	Ellasj?en	11.31	435.2	-2.2
2004	Ellasj?en	8.74	541.7	0
2005	Ellasj?en	13.85	451	0.2
2006	Ellasj?en	8.97	454.4	1.2
2007	Ellasj?en	12.27	441.9	0.4
2008	Ellasj?en	11.72	335.9	0
2009	Ellasj?en	14.42	482.2	-0.2
2010	Ellasj?en	11.95	381.4	-0.5
2011	Ellasj?en	7.94	534.2	0.3
2012	Ellasj?en	10.22	491.7	0.7
2013	Ellasj?en	11.91	420.3	0.4
2014	Ellasj?en	15.02	408.3	0.5
2015	Ellasj?en	8.81	526.9	0.4
2016	Ellasj?en	8.65	397.2	1.8
2017	Ellasj?en	10.14	496	0.7
2018	Ellasj?en	10.94	459.2	1
2019	Ellasj?en	8.79	495.1	-0.5
2020	Ellasj?en		490.7	-0.6
1990	Breidtjern	19.93		
1991	Breidtjern	15.36	872.5	6.3
1992	Breidtjern	16.79	918.5	6.7
1993	Breidtjern	15.29	787	5.3
1994	Breidtjern	12.53	918.3	6
1995	Breidtjern	14.87	839.3	6
1996	Breidtjern	12.62	766.2	4.9
1997	Breidtjern	13.01	772.3	6.6
1998	Breidtjern	14.4	1043.6	5.9
1999	Breidtjern	14.8	1220.1	6.5
2000	Breidtjern	13.85	1373.9	7.5
2001	Breidtjern	12.77	920.7	5.9
2002	Breidtjern	13.35	842.4	4.6
2003	Breidtjern	13.11	976.4	6.5
2004	Breidtjern	13.52	1124.5	6.6
2005	Breidtjern	13.06	946.8	6.9
2006	Breidtjern	14.36	1164.5	7.2
2007	Breidtjern	12.9	1097.7	7.2
2008	Breidtjern	12.33	1330.7	7.5
2009	Breidtjern	12.12	1098.8	6.5
2010	Breidtjern	9.74	806.4	
2011	Breidtjern	12.35	1077.4	
2012	Breidtjern	11.18	1063.1	
2013	Breidtjern	10.42	891.2	
2014	Breidtjern	13.15	1095.7	
2015	Breidtjern	11.78	1083.8	
2016	Breidtjern	8.98	687.4	
2017	Breidtjern	10.31	860.9	7.3
2018	Breidtjern	10.42	774.9	2.8
2019	Breidtjern	12.04	1140.5	
