Lake	ParameterID	Pr?vetakingstidspunkt	Year	Value	Enhetsnavn
Breidtjern	TOC	27.10.1986 00:00	1986	3.11	mg/l C
Breidtjern	TOC	27.10.1987 00:00	1987	6.62	mg/l C
Breidtjern	TOC	25.10.1988 00:00	1988	7.01	mg/l C
Breidtjern	TOC	24.10.1989 00:00	1989	3.29	mg/l C
Breidtjern	TOC	22.10.1990 00:00	1990	3.41	mg/l C
Breidtjern	TOC	31.10.1991 00:00	1991	4.8	mg/l C
Breidtjern	TOC	25.07.1992 00:00	1992	4.1	mg/l C
Breidtjern	TOC	29.10.1992 00:00	1992	5.2	mg/l C
Breidtjern	TOC	01.11.1993 00:00	1993	5.4	mg/l C
Breidtjern	TOC	31.10.1994 00:00	1994	6.7	mg/l C
Breidtjern	TOC	20.10.1995 00:00	1995	5.8	mg/l C
Breidtjern	TOC	09.10.1996 00:00	1996	5.3	mg/l C
Breidtjern	TOC	04.11.1997 00:00	1997	5.6	mg/l C
Breidtjern	TOC	01.09.1998 00:00	1998	5.8	mg/l C
Breidtjern	TOC	12.10.1998 00:00	1998	6.5	mg/l C
Breidtjern	TOC	08.06.1999 00:00	1999	7.2	mg/l C
Breidtjern	TOC	21.09.1999 00:00	1999	6.8	mg/l C
Breidtjern	TOC	15.10.1999 00:00	1999	8.1	mg/l C
Breidtjern	TOC	03.07.2000 00:00	2000	6	mg/l C
Breidtjern	TOC	18.12.2000 00:00	2000	10.5	mg/l C
Breidtjern	TOC	11.06.2001 00:00	2001	8.3	mg/l C
Breidtjern	TOC	28.08.2001 00:00	2001	7	mg/l C
Breidtjern	TOC	26.11.2001 00:00	2001	10	mg/l C
Breidtjern	TOC	30.05.2002 00:00	2002	6.2	mg/l C
Breidtjern	TOC	05.11.2002 00:00	2002	9.9	mg/l C
Breidtjern	TOC	12.06.2003 00:00	2003	7.5	mg/l C
Breidtjern	TOC	31.10.2003 00:00	2003	6.4	mg/l C
Breidtjern	TOC	02.06.2004 00:00	2004	5.7	mg/l C
Breidtjern	TOC	15.10.2004 00:00	2004	8.8	mg/l C
Breidtjern	TOC	24.05.2005 00:00	2005	7.1	mg/l C
Breidtjern	TOC	28.10.2005 00:00	2005	7.6	mg/l C
Breidtjern	TOC	19.06.2006 00:00	2006	7.4	mg/l C
Breidtjern	TOC	03.11.2006 00:00	2006	9.6	mg/l C
Breidtjern	TOC	08.06.2007 00:00	2007	6.7	mg/l C
Breidtjern	TOC	18.11.2007 00:00	2007	11	mg/l C
Breidtjern	TOC	11.06.2008 00:00	2008	7.2	mg/l C
Breidtjern	TOC	06.09.2008 00:00	2008	9.2	mg/l C
Breidtjern	TOC	04.11.2008 00:00	2008	9.7	mg/l C
Breidtjern	TOC	05.06.2009 00:00	2009	7.27	mg/l C
Breidtjern	TOC	07.09.2009 00:00	2009	14.2	mg/l C
Breidtjern	TOC	03.11.2009 00:00	2009	10.4	mg/l C
Breidtjern	TOC	09.06.2010 00:00	2010	8.1	mg/l C
Breidtjern	TOC	11.08.2010 00:00	2010	8.3	mg/l C
Breidtjern	TOC	05.11.2010 00:00	2010	10.6	mg/l C
Breidtjern	TOC	01.06.2011 00:00	2011	8.6	mg/l C
Breidtjern	TOC	16.09.2011 00:00	2011	13.7	mg/l C
Breidtjern	TOC	03.11.2011 00:00	2011	14.1	mg/l C
Breidtjern	TOC	06.06.2012 00:00	2012	8	mg/l C
Breidtjern	TOC	07.09.2012 00:00	2012	7.4	mg/l C
Breidtjern	TOC	06.11.2012 00:00	2012	17.8	mg/l C
Breidtjern	TOC	07.06.2013 00:00	2013	9.6	mg/l C
Breidtjern	TOC	04.09.2013 00:00	2013	9.3	mg/l C
Breidtjern	TOC	30.10.2013 00:00	2013	10.8	mg/l C
Breidtjern	TOC	10.06.2014 00:00	2014	7.1	mg/l C
Breidtjern	TOC	16.09.2014 00:00	2014	7.1	mg/l C
Breidtjern	TOC	15.06.2015 00:00	2015	8.6	mg/l C
Breidtjern	TOC	11.09.2015 00:00	2015	8.2	mg/l C
Breidtjern	TOC	30.10.2015 00:00	2015	9.2	mg/l C
Breidtjern	TOC	09.06.2016 00:00	2016	7.4	mg/l C
Breidtjern	TOC	08.09.2016 00:00	2016	6.2	mg/l C
Breidtjern	TOC	27.10.2016 00:00	2016	7.1	mg/l C
Breidtjern	TOC	27.10.2017 00:00	2017	9.2	mg/l C
Breidtjern	TOC	05.06.2018 00:00	2018	8.1	mg/l C
Breidtjern	TOC	06.09.2018 00:00	2018	7.28	mg/l C
Breidtjern	TOC	09.11.2018 00:00	2018	10.7	mg/l C
Breidtjern	TOC	04.06.2019 00:00	2019	8.4	mg/l C
Breidtjern	TOC	10.09.2019 00:00	2019	6.1	mg/l C
Breidtjern	TOC	22.10.2019 00:00	2019	14.5	mg/l C
Breidtjern	TOC	16.06.2020 00:00	2020	8.3	mg/l C
Breidtjern	TOC	10.09.2020 00:00	2020	7.1	mg/l C
Breidtjern	TOC	19.10.2020 00:00	2020	8.5	mg/l C
