Station	Parameter	Sampling time	Year	Concentration_TOC	Unit
"Vorma, Minnesund"	Fargetall	12.10.2009 00:00	2009	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	17.01.2011 00:00	2011	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	23.02.2011 00:00	2011	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.03.2011 00:00	2011	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.04.2011 00:00	2011	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	19.05.2011 00:00	2011	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	09.06.2011 00:00	2011	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	13.07.2011 00:00	2011	15	mg/l Pt
"Vorma, Minnesund"	Fargetall	24.08.2011 00:00	2011	16	mg/l Pt
"Vorma, Minnesund"	Fargetall	27.09.2011 00:00	2011	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	19.10.2011 00:00	2011	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.11.2011 00:00	2011	15	mg/l Pt
"Vorma, Minnesund"	Fargetall	20.12.2011 00:00	2011	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	20.01.2012 00:00	2012	8	mg/l Pt
"Vorma, Minnesund"	Fargetall	31.01.2012 00:00	2012	8	mg/l Pt
"Vorma, Minnesund"	Fargetall	17.02.2012 00:00	2012	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	26.03.2012 00:00	2012	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	17.04.2012 00:00	2012	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.05.2012 00:00	2012	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	21.06.2012 00:00	2012	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	17.07.2012 00:00	2012	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	17.08.2012 00:00	2012	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	23.09.2012 00:00	2012	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	23.10.2012 00:00	2012	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	22.11.2012 00:00	2012	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.12.2012 00:00	2012	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	29.01.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	12.02.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.03.2013 00:00	2013	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	04.04.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	07.05.2013 00:00	2013	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	04.06.2013 00:00	2013	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.06.2013 00:00	2013	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	28.08.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	10.09.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	08.10.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	12.11.2013 00:00	2013	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	04.12.2013 00:00	2013	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	21.01.2014 00:00	2014	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.02.2014 00:00	2014	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	24.03.2014 00:00	2014	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	22.04.2014 00:00	2014	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	21.05.2014 00:00	2014	11	mg/l Pt
