Lake	Species	Year	Length	Weight	THg	d15N	d13C	Sex	Age	THg_old
Mj?sa	?rret	2006	53.4	1640	0.416	13.925				
Mj?sa	?rret	2006	53.9	1880	1.202	16.257				
Mj?sa	?rret	2006	58.5	1540	0.707	15.022				
Mj?sa	?rret	2006	61	2060	0.633	14.92				
Mj?sa	?rret	2006	47.5	1310	0.469	14.574				
Mj?sa	?rret	2006	55.7	1935	0.544	14.435				
Mj?sa	?rret	2006	52.5	1860	0.349	13.571				
Mj?sa	?rret	2006	51	1435	0.375	14.549				
Mj?sa	?rret	2006	50.7	1845	0.349	13.592				
Mj?sa	?rret	2006	60	2501	0.415	14.686				
Mj?sa	?rret	2006	49.5	1528	0.48	14.604				
Mj?sa	?rret	2006	59.6	2297	0.586	14.533				
Mj?sa	?rret	2006	55.3	1913	0.643	15.477				
Mj?sa	?rret	2006	63.6	3120	0.585	14.739				
Mj?sa	?rret	2006	61	2420	0.72	13.015				
Mj?sa	?rret	2006	59.1	1843	1.148	15.724				
Mj?sa	?rret	2006	46	1341	0.41	14.362				
Mj?sa	?rret	2006	51.6	1799	0.327	13.333				
Mj?sa	?rret	2006	67.5	3850	0.732					
Mj?sa	?rret	2006	74	4950	0.806	14.183				
Mj?sa	?rret	2006	71.6	5600	1.015	13.165				
Mj?sa	?rret	2006	75.1	5430	0.726	14.205				
Mj?sa	?rret	2007	57.5	1928	0.409	13.855				
Mj?sa	?rret	2007	52.3	1749	0.28	14.19				
Mj?sa	?rret	2007	58	1851	0.496	14.322				
Mj?sa	?rret	2007	53.2	1795	0.253	14.005				
Mj?sa	?rret	2007	57	1937	1.026	15.708				
Mj?sa	?rret	2007	58	2092	0.587	14.789				
Mj?sa	?rret	2007	51.7	1580	0.382	14.907				
Mj?sa	?rret	2007	53.5	1638	0.351	14.098				
Mj?sa	?rret	2007	58.5	2373	1.449	15.509				
Mj?sa	?rret	2007	61.8	2916	0.384	15.054				
Mj?sa	?rret	2007	54.7	1746	0.583	16.751				
