Year	Lake	Length	Weight	THg
1998	Ellasjoen	480	1100	855
1998	Ellasjoen	368	452	228
1998	Ellasjoen	278	190	1000
1998	Ellasjoen	205	90	137
1998	Ellasjoen	660	3133	1280
1998	Ellasjoen	395	571	451
1998	Ellasjoen	190	65	NA
1998	Ellasjoen	146	32	NA
1998	Ellasjoen	155	42	NA
1998	Ellasjoen	176	50	NA
1998	Ellasjoen	118	18	NA
1998	Ellasjoen	173	49	NA
1998	Ellasjoen	156	35	NA
1998	Ellasjoen	195	73	NA
1998	Ellasjoen	173	51	NA
1998	Ellasjoen	176	48	NA
1998	Ellasjoen	155	41	NA
1998	Ellasjoen	176	55	NA
1998	Ellasjoen	342	411	361.5
1998	Ellasjoen	375	520	368
1998	Ellasjoen	386	650	343
1998	Ellasjoen	406	768	434
1998	Ellasjoen	360	490	398
1998	Ellasjoen	348	428	327
1998	Ellasjoen	352	467	256
1998	Ellasjoen	320	324	353
1998	Ellasjoen	279	230	213.5
1998	Ellasjoen	152	262	369
1998	Ellasjoen	269	193	228.5
1998	Ellasjoen	399	522	422
1998	Ellasjoen	333	337	268
1998	Ellasjoen	305	245	281
1999	Ellasjoen	305	264	394
1999	Ellasjoen	296	245	144
1999	Ellasjoen	316	309	232
1999	Ellasjoen	295	222	307
1999	Ellasjoen	335	334	323
1999	Ellasjoen	319	309	277
1999	Ellasjoen	286	207	196
1999	Ellasjoen	300	265	306
1999	Ellasjoen	368	544	458
1999	Ellasjoen	350	401	358
1999	Ellasjoen	261	166	246
1999	Ellasjoen	338	407	416
1999	Ellasjoen	288	232	260
1999	Ellasjoen	327	327	249
1999	Ellasjoen	320	341	280
1999	Ellasjoen	322	323	360
1999	Ellasjoen	262	185	275
1999	Ellasjoen	325	354	280
1999	Ellasjoen	311	308	437
1999	Ellasjoen	255	149	244
1999	Ellasjoen	220	89	NA
1999	Ellasjoen	125	22	NA
2001	Ellasjoen	316	319	198
2001	Ellasjoen	215	94	472
2001	Ellasjoen	231	110	269
2001	Ellasjoen	489	1349	1420
2001	Ellasjoen	270	165	384
2001	Ellasjoen	302	260	316
2001	Ellasjoen	465	850	1740
2001	Ellasjoen	109	11	314
2001	Ellasjoen	361	441	479.5
2001	Ellasjoen	164	42	741
2001	Ellasjoen	251	140	199
2001	Ellasjoen	429	689	776
2001	Ellasjoen	382	530	519
2001	Ellasjoen	198	65	263
2001	Ellasjoen	98	7	105
2001	Ellasjoen	446	831	1390
2001	Ellasjoen	289	NA	511
2001	Ellasjoen	335	NA	552
2001	Ellasjoen	410	NA	836
2001	Ellasjoen	181	NA	796
2001	Ellasjoen	324	314	NA
2001	Ellasjoen	340	375	NA
2002	Ellasjoen	540	1672	1980
2002	Ellasjoen	343	427	365
2002	Ellasjoen	325	346	343
2002	Ellasjoen	312	288	196
2002	Ellasjoen	341	383	226
2002	Ellasjoen	343	380	459
2002	Ellasjoen	337	359	465
2002	Ellasjoen	475	1077	2010
2002	Ellasjoen	115	14	374
2002	Ellasjoen	421	710	647
2002	Ellasjoen	470	950	NA
2002	Ellasjoen	505	1260	NA
2002	Ellasjoen	410	681	NA
2002	Ellasjoen	462	1125	NA
2002	Ellasjoen	343	400	NA
2003	Ellasjoen	333	337	334
2003	Ellasjoen	307	298	182
2003	Ellasjoen	378	609	434
2003	Ellasjoen	368	499	191
2003	Ellasjoen	364	459	360
2003	Ellasjoen	347	469	269
2003	Ellasjoen	316	296	299
2003	Ellasjoen	525	2078	1110
2003	Ellasjoen	403	564	571
2003	Ellasjoen	341	402	412
2003	Ellasjoen	354	490	293
2003	Ellasjoen	470	1070	1430
2003	Ellasjoen	324	350	364
2003	Ellasjoen	287	221	255
2003	Ellasjoen	444	780	1660
2003	Ellasjoen	431	666	634
2003	Ellasjoen	389	584	297
2003	Ellasjoen	395	615	546
2003	Ellasjoen	411	676	831
2003	Ellasjoen	371	476	751
2004	Ellasjoen	164	36	NA
2004	Ellasjoen	130	22	NA
2004	Ellasjoen	355	485	339
2004	Ellasjoen	452	1023	636
2004	Ellasjoen	406	689	303
2004	Ellasjoen	458	892	505
2004	Ellasjoen	381	550	281
2004	Ellasjoen	389	651	467
2004	Ellasjoen	361	499	198
2004	Ellasjoen	351	453	191
2004	Ellasjoen	432	921	971
2004	Ellasjoen	371	550	266
2004	Ellasjoen	344	416	257
2004	Ellasjoen	340	410	273
2004	Ellasjoen	325	358	186
2004	Ellasjoen	339	357	151
2004	Ellasjoen	348	409	248.5
2004	Ellasjoen	391	626	180
2004	Ellasjoen	378	612	195
2004	Ellasjoen	385	626	277
2004	Ellasjoen	342	465	182
2004	Ellasjoen	392	617	430
2006	Ellasjoen	305	321	253
2006	Ellasjoen	326	376	302
2006	Ellasjoen	436	346	567
2006	Ellasjoen	337	419	217
2006	Ellasjoen	381	541	410
2006	Ellasjoen	358	559	451
2006	Ellasjoen	381	540	485
2006	Ellasjoen	432	824	869
2009	Ellasjoen	385	625	687
2009	Ellasjoen	394	621	492
2009	Ellasjoen	301	500	586
2009	Ellasjoen	361	498	507
2009	Ellasjoen	326	526	491
2009	Ellasjoen	343	478	924
2009	Ellasjoen	603	2190	2320
2009	Ellasjoen	418	643	304
2009	Ellasjoen	461	900	1270
2009	Ellasjoen	414	684	649.5
2009	Ellasjoen	400	639	2000
2009	Ellasjoen	455	938	2280
2009	Ellasjoen	425	763	640
